ÉQUIPEMENT,ORGANISATION,ANNÉE FRABRIQUÉ ,QUANTITÉ,,,,,
CHEVROLET SILVERADO PICKUP 3/4T 4X2,ARMÉE CANADIENNE,2013,7,,,,,
CHEVROLET SILVERADO PICKUP 4X2,ARMÉE CANADIENNE,2010,1,,,,,
CHEVROLET SILVERADO PICKUP 8FT 4X4,ARMÉE CANADIENNE,2013,31,,,,,
CHEVROLET SILVERADO PICKUP 8FT 4X4,ARMÉE CANADIENNE,2014,24,,,,,
CHEVROLET SUBURBAN TRUCK,ARMÉE CANADIENNE,1999,1,,,,,
CHEVROLET SUBURBAN TRUCK,ARMÉE CANADIENNE,2003,5,,,,,
CHEVROLET SUBURBAN TRUCK,ARMÉE CANADIENNE,2006,3,,,,,
CHEVROLET SUBURBAN TRUCK,ARMÉE CANADIENNE,2007,13,,,,,
CHEVROLET SUBURBAN TRUCK,ARMÉE CANADIENNE,2009,2,,,,,
CHEVROLET SUBURBAN TRUCK,ARMÉE CANADIENNE,2011,3,,,,,
CHEVROLET SUBURBAN TRUCK 1 1/2T,ARMÉE CANADIENNE,2010,1,,,,,
CHEVROLET SUBURBAN TRUCK 1 1/2T,ARMÉE CANADIENNE,2013,3,,,,,
CHEVROLET TAHOE UTILITY TRUCK,ARMÉE CANADIENNE,2003,3,,,,,
CHEVROLET TAHOE UTILITY TRUCK,ARMÉE CANADIENNE,2005,1,,,,,
CHEVROLET TAHOE UTILITY TRUCK,ARMÉE CANADIENNE,2009,5,,,,,
CHEVROLET TAHOE UTILITY TRUCK,ARMÉE CANADIENNE,2011,3,,,,,
CHEVROLET UPLANDER PANEL TRUCK,ARMÉE CANADIENNE,2008,7,,,,,
CHEVROLET UPLANDER TRUCK,ARMÉE CANADIENNE,2007,9,,,,,
CHEVROLET UPLANDER TRUCK,ARMÉE CANADIENNE,2008,5,,,,,
CHEVROLET UPLANDER TRUCK,ARMÉE CANADIENNE,2009,8,,,,,
CHEVROLET VOLT PLUG-IN HYBRID TRUCK,ARMÉE CANADIENNE,2014,1,,,,,
